element_chr	element_start	element_end	element_label	measuredGeneSymbol	element_effect	element_result	element_pValue	element_pValueAdjusted
chr1	204377048	204378872	Peak_15554|chr1:204377048-204378872	Peak_15554	-1.2965	TRUE	0.0018463	0.060467
chr1	214514002	214515327	Peak_25274|chr1:214514002-214515327	Peak_25274	-0.63268	TRUE	0.0014068	0.029172
chr1	219668657	219668965	Peak_30271|chr1:219668657-219668965	Peak_30271	-0.78511	TRUE	0.0070268	0.107443
chr1	220370633	220370903	Peak_33652|chr1:220370633-220370903	Peak_33652	-2.4954	TRUE	0.005926	0.092881
chr1	244735218	244735916	Peak_22574|chr1:244735218-244735916	Peak_22574	-2.977	TRUE	2.82e-07	1.5e-05
chr1	246138007	246138484	Peak_24994|chr1:246138007-246138484	Peak_24994	-4.0882	TRUE	2.53e-06	0.000115
chr10	4686047	4687048	Peak_23020|chr10:4686047-4687048	Peak_23020	-0.54213	TRUE	0.00084376	0.018757
chr10	17981852	17982463	Peak_27514|chr10:17981852-17982463	Peak_27514	-2.4573	TRUE	6.5034e-05	0.002024
chr10	28081873	28083610	Peak_17830|chr10:28081873-28083610	Peak_17830	-0.9274	TRUE	0.0046427	0.118937
chr10	63630616	63631450	Peak_5785|chr10:63630616-63631450	Peak_5785	-0.89566	TRUE	0.0012302	0.043244
chr10	79023191	79023691	chr10:80782948-80783448:.	PPIF	-0.0518743	TRUE	0.0116368645991929	0.0473786630109998
chr10	79068599	79069284	chr10:80828356-80829041:.	PPIF	-0.0585329	TRUE	0.00266557500346148	0.0191921400249227
chr10	79084145	79084645	chr10:80843902-80844402:.	PPIF	-0.0610632	TRUE	0.00350822033825022	0.016096540375501
chr10	79093685	79094185	chr10:80853442-80853942:.	PPIF	-0.0766138	TRUE	0.000647725021111617	0.00518180016889293
chr10	79093714	79094214	chr10:80853471-80853971:.	PPIF	-0.051924	TRUE	0.0060454085901788	0.0261967705574415
chr10	79132606	79133106	chr10:80892363-80892863:.	PPIF	-0.0542856	TRUE	0.00270934857459021	0.0140886125878691
chr10	79137632	79138132	chr10:80897389-80897889:.	PPIF	-0.083354	TRUE	1.549266518449e-06	1.20842788439022e-05
chr10	79242087	79242587	chr10:81001844-81002344:.	PPIF	-0.0644244	TRUE	0.000105844461168308	0.000687988997594
chr10	79242666	79243166	chr10:81002423-81002923:.	PPIF	-0.1616782	TRUE	8.30133563060048e-17	5.91470163680284e-16
chr10	79242723	79243223	chr10:81002480-81002980:.	PPIF	-0.1789299	TRUE	0.000727327426959328	0.00654594684263396
chr10	79242732	79243232	chr10:81002489-81002989:.	PPIF	-0.05239086	TRUE	0.000737072112779706	0.00821308925668815
chr10	79243628	79244128	chr10:81003385-81003885:.	PPIF	-0.15519035	TRUE	1.96853880063144e-25	7.6773013224626e-24
chr10	79243632	79244132	chr10:81003389-81003889:.	PPIF	-0.160945	TRUE	0.00053272683840284	0.0054794760521435
chr10	79244524	79245356	chr10:81004281-81005113:.	PPIF	-0.0532715	TRUE	0.00159025761858014	0.00755372368825569
chr10	79244730	79245230	chr10:81004487-81004987:.	PPIF	-0.0437464	TRUE	0.00390094068423534	0.0338081525967062
chr10	79248347	79248847	chr10:81008104-81008604:.	PPIF	0.068789	TRUE	0.000356430309573645	0.00213858185744187
chr10	79266090	79266946	chr10:81025847-81026703:.	PPIF	0.076342	TRUE	6.66877777156221e-06	0.000177834073908326
chr10	79285232	79285732	chr10:81044989-81045489:.	PPIF	0.2160176	TRUE	2.98168814874744e-20	2.42794606398006e-19
chr10	79286220	79286720	chr10:81045977-81046477:.	PPIF	0.06419	TRUE	0.00138736646239353	0.0184982194985804
chr10	79286318	79286818	chr10:81046075-81046575:.	PPIF	0.2633675	TRUE	3.93352411361014e-42	4.48421748951556e-41
chr10	79286334	79286834	chr10:81046091-81046591:.	PPIF	0.4266251	TRUE	1.07011537287831e-87	3.85241534236192e-86
chr10	79286343	79286843	chr10:81046100-81046600:.	PPIF	0.4268086	TRUE	5.21493089929404e-100	2.03382305072468e-98
chr10	79293756	79294517	chr10:81053513-81054274:.	PPIF	-0.0938643	TRUE	2.53123313645809e-08	2.19373538493035e-07
chr10	79293802	79294632	chr10:81053559-81054389:.	PPIF	-0.0413123	TRUE	0.00767292380810371	0.0336428197739932
chr10	79316579	79317079	chr10:81076336-81076836:.	PPIF	0.1260415	TRUE	4.90151091431983e-10	2.7938612211623e-09
chr10	79316605	79317105	chr10:81076362-81076862:.	PPIF	0.0852733	TRUE	8.93274013648442e-05	0.00178654802729688
chr10	79316611	79317111	chr10:81076368-81076868:.	PPIF	0.09236596	TRUE	2.36483331341289e-07	3.68913996892411e-06
chr10	79317294	79317794	chr10:81077051-81077551:.	PPIF	0.12240783	TRUE	8.54261983893797e-12	1.6658108685929e-10
chr10	79317427	79318156	chr10:81077184-81077913:.	PPIF	0.2023058	TRUE	1.37061682584243e-28	1.30208598455031e-27
chr10	79317603	79318205	chr10:81077360-81077962:.	PPIF	0.2479406	TRUE	2.13455352824554e-37	2.77491958671921e-36
chr10	79317616	79318116	chr10:81077373-81077873:.	PPIF	0.1762626	TRUE	2.96616249149044e-13	3.05090999124731e-12
chr10	79317675	79318175	chr10:81077432-81077932:.	PPIF	0.303809	TRUE	8.27441861288082e-07	9.92930233545698e-06
chr10	79317693	79318193	chr10:81077450-81077950:.	PPIF	0.0838025	TRUE	0.00064320554167891	0.0102912886668626
chr10	79317815	79318315	chr10:81077572-81078072:.	PPIF	0.09941186	TRUE	4.66355830401925e-07	6.06262579522503e-06
chr10	79321075	79321575	chr10:81080832-81081332:.	PPIF	0.8001956	TRUE	3.86899440512577e-37	9.28558657230185e-36
chr10	79321101	79321601	chr10:81080858-81081358:.	PPIF	0.291536	TRUE	1.00299632848831e-33	1.44431471302317e-32
chr10	79321116	79321616	chr10:81080873-81081373:.	PPIF	0.4089969	TRUE	2.19175583534203e-73	5.69856517188929e-72
chr10	79322747	79323659	chr10:81082504-81083416:.	PPIF	0.137497	TRUE	2.2200483608408e-12	1.40603062853251e-11
chr10	79323113	79323613	chr10:81082870-81083370:.	PPIF	0.09865696	TRUE	1.54343071401538e-07	5.09332135625074e-06
chr10	79323120	79323620	chr10:81082877-81083377:.	PPIF	0.4560598	TRUE	5.85726360748461e-16	8.43445959477784e-15
chr10	79323140	79323640	chr10:81082897-81083397:.	PPIF	0.1588109	TRUE	2.10405433668887e-13	2.52486520402665e-12
chr10	79323163	79323663	chr10:81082920-81083420:.	PPIF	0.2442313	TRUE	1.48471916752454e-34	1.65440135809878e-33
chr10	79328615	79329115	chr10:81088372-81088872:.	PPIF	0.0601194	TRUE	0.00382080932597705	0.0436663922968806
chr10	79328649	79329149	chr10:81088406-81088906:.	PPIF	0.1573703	TRUE	0.00224613941250251	0.0179691153000201
chr10	79328825	79329325	chr10:81088582-81089082:.	PPIF	0.0468277	TRUE	0.00987846290349972	0.0405536898143673
chr10	79331603	79332103	chr10:81091360-81091860:.	PPIF	0.7810396	TRUE	9.39835788230343e-47	6.76681767525847e-45
chr10	79331673	79332173	chr10:81091430-81091930:.	PPIF	0.1876163	TRUE	4.1801628333943e-24	4.07565876255945e-23
chr10	79331716	79332216	chr10:81091473-81091973:.	PPIF	0.2825232	TRUE	8.91832863150839e-46	1.27086182998995e-44
chr10	79347136	79347713	chr10:81106892-81107469:.	PPIF	0.7515239	TRUE	3.31935689684992e-168	1.89203343120446e-166
chr10	79347213	79347735	chr10:81106969-81107491:.	PPIF	0.7164881	TRUE	7.69670318501947e-38	2.77081314660701e-36
chr10	79347213	79347745	chr10:81106969-81107501:.	PPIF	0.65446126	TRUE	1.25449402902513e-164	9.78505342639605e-163
chr10	79347213	79347763	chr10:81106969-81107519:.	PPIF	0.72350794	TRUE	1.01576061752488e-179	6.70402007566418e-178
chr10	79347213	79347764	chr10:81106969-81107520:.	PPIF	0.6409366	TRUE	9.6194664168487e-128	3.84778656673948e-126
chr10	79347213	79347886	chr10:81106969-81107642:.	PPIF	0.5046828	TRUE	1.24191070241703e-98	8.94175705740265e-97
chr10	79347213	79348254	chr10:81106969-81108010:.	PPIF	0.5360814	TRUE	1.63803393921831e-150	1.27766647259028e-148
chr10	79347738	79348238	chr10:81107494-81107994:.	PPIF	0.5755012	TRUE	6.11615222248265e-34	1.10090740004688e-32
chr10	79347767	79348267	chr10:81107523-81108023:.	PPIF	0.7128514	TRUE	4.55250896010365e-176	3.64200716808292e-174
chr10	79347950	79348450	chr10:81107706-81108206:.	PPIF	0.5999059	TRUE	1.90756430443704e-148	5.43655826764556e-147
chr10	79353053	79354028	chr10:81112809-81113784:.	PPIF	0.3515893	TRUE	4.6900857781359e-64	9.145667267365e-63
chr10	79353060	79354014	chr10:81112816-81113770:.	PPIF	0.3724321	TRUE	1.4447800479368e-66	3.46747211504833e-65
chr10	79353723	79354223	chr10:81113479-81113979:.	PPIF	0.19889322	TRUE	1.91774997977229e-19	4.98614994740795e-18
chr10	79354021	79354521	chr10:81113777-81114277:.	PPIF	0.440032	TRUE	1.03492714006546e-57	1.86286885211783e-56
chr10	79354080	79354580	chr10:81113836-81114336:.	PPIF	0.3881521	TRUE	2.44473588422989e-55	3.81378797939863e-54
chr10	79354083	79354583	chr10:81113839-81114339:.	PPIF	0.4113257	TRUE	1.07480319629564e-56	2.04212607296171e-55
chr10	79354089	79354589	chr10:81113845-81114345:.	PPIF	0.09840808	TRUE	6.14670299290015e-06	0.000135227465843803
chr10	79356049	79356549	chr10:81115805-81116305:.	PPIF	0.0659756	TRUE	0.00709312372336507	0.0425587423401904
chr10	79374371	79374871	chr10:81134127-81134627:.	PPIF	0.0939248	TRUE	4.30757375560333e-06	3.05446139033691e-05
chr10	79374374	79375158	chr10:81134130-81134914:.	PPIF	0.0710615	TRUE	5.25662371961675e-05	0.000272388683652868
chr10	79390815	79391315	chr10:81150571-81151071:.	PPIF	0.0685644	TRUE	0.00345506012372403	0.016096540375501
chr10	79399435	79399935	chr10:81159191-81159691:.	PPIF	0.0528121	TRUE	0.00517066240010914	0.0338443357098053
chr10	79404190	79404690	chr10:81163946-81164446:.	PPIF	-0.080001	TRUE	0.00042496330641848	0.00382466975776632
chr10	79404197	79404697	chr10:81163953-81164453:.	PPIF	-0.0610177	TRUE	0.00204553784518901	0.0113965679946245
chr10	79491080	79491580	chr10:81250836-81251336:.	PPIF	0.06384864	TRUE	0.00123216175850627	0.0120135771454361
chr10	89920512	89922698	Peak_7193|chr10:89920512-89922698	Peak_7193	-1.1736	TRUE	0.0027015	0.079981
chr10	99973350	99974032	Peak_23903|chr10:99973350-99974032	Peak_23903	-1.6824	TRUE	0.00019623	0.005408
chr10	110353439	110353803	Peak_38264|chr10:110353439-110353803	Peak_38264	-0.72131	TRUE	0.00051042	0.012312
chr10	110455475	110455715	Peak_31401|chr10:110455475-110455715	Peak_31401	-1.9545	TRUE	0.0011895	0.025414
chr10	112480431	112481141	Peak_25177|chr10:112480431-112481141	Peak_25177	-3.364	TRUE	4.223e-06	0.000179
chr10	112496646	112497209	Peak_25842|chr10:112496646-112497209	Peak_25842	-2.8479	TRUE	0.0048573	0.079387
chr10	112544366	112546005	Peak_18153|chr10:112544366-112546005	Peak_18153	-2.104	TRUE	0.0014923	0.051208
chr10	119077064	119077295	Peak_37197|chr10:119077064-119077295	Peak_37197	-1.8662	TRUE	0.01448	0.19145
chr10	119734487	119735039	Peak_28009|chr10:119734487-119735039	Peak_28009	-2.0942	TRUE	2.53e-06	0.000115
chr10	122306765	122309315	Peak_451|chr10:122306765-122309315	Peak_451	-1.351	TRUE	0.0030343	0.086421
chr10	133256965	133260212	Peak_5846|chr10:133256965-133260212	Peak_5846	-0.41438	TRUE	0.0037599	0.064691
chr11	835884	836159	Peak_26120|chr11:835884-836159	Peak_26120	-2.8412	TRUE	0.0017497	0.034878
chr11	5248847	5249047	chr11:5248847-5249047:.	HBG1	1.06862400844054	True	NA	NA
chr11	5248847	5249047	chr11:5248847-5249047:.	HBG2	0.935770069959983	True	NA	NA
chr11	5249847	5250847	chr11:5249847-5250847:.	HBG1	1.89088989841087	True	NA	NA
chr11	5249847	5250847	chr11:5249847-5250847:.	HBG2	1.92295579468247	True	NA	NA
chr11	5253147	5253547	chr11:5253147-5253547:.	HBG1	1.33034234393888	True	NA	NA
chr11	5253147	5253547	chr11:5253147-5253547:.	HBG2	1.32325708111021	True	NA	NA
chr11	5253647	5254647	chr11:5253647-5254647:.	HBG1	1.50440436298488	True	NA	NA
chr11	5253647	5254647	chr11:5253647-5254647:.	HBG2	1.43053529377128	True	NA	NA
chr11	5269147	5271147	chr11:5269147-5271147:.	HBE1	1.90647800887755	True	NA	NA
chr11	5275247	5276247	chr11:5275247-5276247:.	HBE1	0.920376538769208	True	NA	NA
chr11	5275747	5276247	chr11:5275747-5276247:.	HBG2	1.0287391542076	True	NA	NA
chr11	5275847	5276247	chr11:5275847-5276247:.	HBG1	1.17387104825305	True	NA	NA
chr11	5279747	5281147	chr11:5279747-5281147:.	HBG1	3.58077044703999	True	NA	NA
chr11	5279747	5281147	chr11:5279747-5281147:.	HBG2	3.60000131857344	True	NA	NA
chr11	5280447	5281147	chr11:5280447-5281147:.	HBE1	1.83846347891618	True	NA	NA
chr11	5281347	5281947	chr11:5281347-5281947:.	HBG1	1.17199054305293	True	NA	NA
chr11	5281447	5281947	chr11:5281447-5281947:.	HBG2	1.0118523532955	True	NA	NA
chr11	5282047	5282647	chr11:5282047-5282647:.	HBG1	1.2079348633854	True	NA	NA
chr11	5282047	5282647	chr11:5282047-5282647:.	HBG2	1.13210762903807	True	NA	NA
chr11	5283047	5283447	chr11:5283047-5283447:.	HBG1	1.39999811838425	True	NA	NA
chr11	5283047	5283447	chr11:5283047-5283447:.	HBG2	1.1883041419841	True	NA	NA
chr11	5283847	5286747	chr11:5283847-5286747:.	HBG1	3.96906455757115	True	NA	NA
chr11	5283847	5286747	chr11:5283847-5286747:.	HBG2	4.13397016203245	True	NA	NA
chr11	5284147	5286047	chr11:5284147-5286047:.	HBE1	1.86753397698606	True	NA	NA
chr11	5287647	5288747	chr11:5287647-5288747:.	HBG1	1.95682488179661	True	NA	NA
chr11	5287647	5288747	chr11:5287647-5288747:.	HBG2	1.84138108431446	True	NA	NA
chr11	5287947	5288547	chr11:5287947-5288547:.	HBE1	0.774095598257311	True	NA	NA
chr11	5503747	5505947	chr11:5503747-5505947:.	HBE1	0.809699394862397	True	NA	NA
chr11	10732130	10732638	Peak_27744|chr11:10732130-10732638	Peak_27744	-2.7369	TRUE	0.00034601	0.008908
chr11	10732916	10733732	Peak_34457|chr11:10732916-10733732	Peak_34457	-0.72502	TRUE	0.0063173	0.098654
chr11	28139930	28141285	Peak_21495|chr11:28139930-28141285	Peak_21495	0.0022542	TRUE	0.014459	0.19145
chr11	33869368	33870768	chr11:33869368-33870768:.	LMO2	1.384246081	TRUE	NA	NA
chr11	33880468	33883368	chr11:33880468-33883368:.	LMO2	1.840324108	TRUE	NA	NA
chr11	33937168	33938068	chr11:33937168-33938068:.	LMO2	1.212775576	TRUE	NA	NA
chr11	33940268	33943268	chr11:33940268-33943268:.	LMO2	2.883668904	TRUE	NA	NA
chr11	33943668	33946568	chr11:33943668-33946568:.	LMO2	3.704187562	TRUE	NA	NA
chr11	33944868	33945268	chr11:33944868-33945268:.	CAT	1.214675507	TRUE	NA	NA
chr11	33944871	33945471	chr11:33944871-33945471:.	CAPRIN1	0.803764617	TRUE	NA	NA
chr11	33947368	33947868	chr11:33947368-33947868:.	LMO2	1.720755489	TRUE	NA	NA
chr11	34050971	34051471	chr11:34050971-34051471:.	CAPRIN1	0.973987294	TRUE	NA	NA
chr11	34051571	34054171	chr11:34051571-34054171:.	CAPRIN1	2.06429067	TRUE	NA	NA
chr11	34085871	34086871	chr11:34085871-34086871:.	CAPRIN1	1.009272431	TRUE	NA	NA
chr11	34437468	34440568	chr11:34437468-34440568:.	CAT	3.28666806	TRUE	NA	NA
chr11	34494360	34497172	Peak_1038|chr11:34494360-34497172	Peak_1038	-0.43246	TRUE	0.014328	0.190572
chr11	61792000	61794000	chr11:61792000-61794000:.	FEN1	1.808254623	TRUE	NA	NA
chr11	61796700	61797200	chr11:61796700-61797200:.	FEN1	0.83160148	TRUE	NA	NA
chr11	61813200	61813600	chr11:61813200-61813600:.	FADS1	0.92666829	TRUE	NA	NA
chr11	61814000	61818400	chr11:61814000-61818400:.	FADS1	4.018397865	TRUE	NA	NA
chr11	61814500	61817200	chr11:61814500-61817200:.	FADS2	2.321920583	TRUE	NA	NA
chr11	61816500	61817100	chr11:61816500-61817100:.	FADS3	-0.614935645	TRUE	NA	NA
chr11	61833100	61835900	chr11:61833100-61835900:.	FADS1	4.034462598	TRUE	NA	NA
chr11	61833500	61835900	chr11:61833500-61835900:.	FADS2	2.161370894	TRUE	NA	NA
chr11	61833800	61835700	chr11:61833800-61835700:.	FADS3	1.606420667	TRUE	NA	NA
chr11	61841200	61842900	chr11:61841200-61842900:.	FADS1	2.039929761	TRUE	NA	NA
chr11	61841500	61842400	chr11:61841500-61842400:.	FADS2	1.162227952	TRUE	NA	NA
chr11	61841500	61842900	chr11:61841500-61842900:.	FADS3	0.892564381	TRUE	NA	NA
chr11	61864500	61864800	chr11:61864500-61864800:.	FADS2	1.267389098	TRUE	NA	NA
chr11	61868900	61871800	chr11:61868900-61871800:.	FADS1	1.899700873	TRUE	NA	NA
chr11	61870100	61873100	chr11:61870100-61873100:.	FADS3	-1.355925556	TRUE	NA	NA
chr11	61890400	61892300	chr11:61890400-61892300:.	FADS3	1.947777862	TRUE	NA	NA
chr11	61892600	61893000	chr11:61892600-61893000:.	FADS3	0.529552423	TRUE	NA	NA
chr11	61998508	61998915	Peak_33773|chr11:61998508-61998915	Peak_33773	-2.2631	TRUE	0.0022041	0.04181
chr11	62540753	62541501	Peak_30725|chr11:62540753-62541501	Peak_30725	-0.94672	TRUE	0.00055155	0.022666
chr11	62540753	62541501	Peak_30725|chr11:62540753-62541501	Peak_30725	-0.33672	TRUE	0.0015082	0.031163
chr11	62861059	62862227	Peak_27412|chr11:62861059-62862227	Peak_27412	-2.6727	TRUE	4.79e-06	0.000195
chr11	62875735	62876301	Peak_33885|chr11:62875735-62876301	Peak_33885	-3.7365	TRUE	0.0010746	0.023169
chr11	64354291	64354515	Peak_38368|chr11:64354291-64354515	Peak_38368	-0.51405	TRUE	0.00856	0.125419
chr11	64380031	64380358	Peak_34913|chr11:64380031-64380358	Peak_34913	-3.8076	TRUE	0.00055153	0.013088
chr11	65429179	65429552	Peak_27023|chr11:65429179-65429552	Peak_27023	-3.1183	TRUE	8.45e-07	4.3e-05
chr11	65436217	65436631	Peak_33618|chr11:65436217-65436631	Peak_33618	-2.7135	TRUE	2.82e-07	1.5e-05
chr11	65546839	65547207	Peak_22815|chr11:65546839-65547207	Peak_22815	-0.60371	TRUE	0.0017261	0.03453
chr11	65587671	65589117	Peak_17817|chr11:65587671-65589117	Peak_17817	-0.92478	TRUE	0.0036865	0.101643
chr11	65910948	65913737	Peak_8581|chr11:65910948-65913737	Peak_8581	-0.83668	TRUE	2.82e-07	1.5e-05
chr11	65989567	65990068	Peak_29532|chr11:65989567-65990068	Peak_29532	-1.3318	TRUE	0.0041416	0.069757
chr11	69281231	69281553	Peak_39165|chr11:69281231-69281553	Peak_39165	-2.7612	TRUE	8.73e-06	0.000331
chr11	69652100	69652488	Peak_31479|chr11:69652100-69652488	Peak_31479	-2.1837	TRUE	5.8841e-05	0.001861
chr11	70112020	70112321	Peak_37471|chr11:70112020-70112321	Peak_37471	-0.64202	TRUE	0.00038598	0.009668
chr11	119126537	119127169	Peak_26954|chr11:119126537-119127169	Peak_26954	-1.419	TRUE	0.0012726	0.044374
chr11	123453596	123455309	Peak_6246|chr11:123453596-123455309	Peak_6246	-0.49598	TRUE	0.010306	0.145335
chr11	129278592	129278934	Peak_25275|chr11:129278592-129278934	Peak_25275	-0.79478	TRUE	0.0038866	0.065967
chr12	6204627	6205307	Peak_42420|chr12:6204627-6205307	Peak_42420	-0.82199	TRUE	0.0025352	0.076516
chr12	6218215	6219181	Peak_16681|chr12:6218215-6219181	Peak_16681	-0.50367	TRUE	0.0030239	0.086421
chr12	6525578	6525860	Peak_38762|chr12:6525578-6525860	Peak_38762	-3.0623	TRUE	1.41e-06	6.9e-05
chr12	6778257	6779058	Peak_21066|chr12:6778257-6779058	Peak_21066	-0.4622	TRUE	0.0008781	0.019373
chr12	6835885	6836142	Peak_41439|chr12:6835885-6836142	Peak_41439	-2.9921	TRUE	0.00011515	0.003352
chr12	31636136	31636720	Peak_27921|chr12:31636136-31636720	Peak_27921	-2.4411	TRUE	2.53e-06	0.000115
chr12	39605541	39606149	Peak_26812|chr12:39605541-39606149	Peak_26812	-1.782	TRUE	0.00028688	0.007518
chr12	49516187	49517575	Peak_17151|chr12:49516187-49517575	Peak_17151	-2.1991	TRUE	0.0017199	0.034523
chr12	49520064	49520695	Peak_30076|chr12:49520064-49520695	Peak_30076	-2.0805	TRUE	2.82e-07	1.5e-05
chr12	50218206	50219507	Peak_18177|chr12:50218206-50219507	Peak_18177	-2.9753	TRUE	0.0001219	0.003526
chr12	51262193	51263178	Peak_21082|chr12:51262193-51263178	Peak_21082	-3.4776	TRUE	5.91e-06	0.000231
chr12	51631404	51632169	Peak_25830|chr12:51631404-51632169	Peak_25830	-0.46158	TRUE	0.014156	0.188437
chr12	53324209	53325573	Peak_7097|chr12:53324209-53325573	Peak_7097	-0.34882	TRUE	0.0084221	0.123928
chr12	53368477	53368967	Peak_27158|chr12:53368477-53368967	Peak_27158	-2.518	TRUE	0.0085606	0.125419
chr12	54279521	54281821	chr12:54673305-54675605:.	HNRNPA1	0.09854393	TRUE	1.6743341179756e-29	9.87857129605603e-28
chr12	54283021	54283521	chr12:54676805-54677305:.	HNRNPA1	0.075521989	TRUE	0.000271216816349616	0.00533393072154245
chr12	54285841	54286341	chr12:54679625-54680125:.	HNRNPA1	-0.055644056	TRUE	0.000540536269510901	0.00797290997528579
chr12	54292001	54292801	chr12:54685785-54686585:.	NFE2	0.07870914	TRUE	5.61637994519654e-10	1.32546566706638e-08
chr12	54294101	54294621	chr12:54687885-54688405:.	NFE2	0.08263719	TRUE	1.13551078665121e-06	1.48878080916492e-05
chr12	54294681	54295181	chr12:54688465-54688965:.	NFE2	0.07861884	TRUE	5.0516818645132e-07	7.45123075015697e-06
chr12	54295641	54296181	chr12:54689425-54689965:.	NFE2	0.24420771	TRUE	4.51775693701309e-33	2.66547659283772e-31
