gene_name	chr	TSS	TSS_POL2_sig
NCOA4	chr10	46030714	158.852
STARD10	chr11	72793705	18.1481
FRG2EP	chr20	29416961	0.00023
IPO13	chr1	43946949	78.9589
SNORD172	chr10	75021732	0.0106296
LOC644656	chr11	9460698	288.933
KRTAP5-AS1	chr11	1572740	0.912826
STARD3	chr17	39637143	105.766
NME3	chr16	1771709	27.8646
PRR29-AS1	chr17	63999899	19.6901
IFNL3	chr19	39245006	0.0105223
GALR3	chr22	37823381	2.05487
LINC00279	chrY	8638293	0.00023
ATRIP-TREX1	chr3	48446778	124.63
DARS1	chr2	135985626	260.156
LINC02292	chr14	95329583	0.0352388
NPSR1-AS1	chr7	34834331	0.0978258
CXorf51B	chrX	146809770	0.00023
CXorf51B	chrX	146814744	0.00023
TRPC1	chr3	142724423	106.495
QSOX2	chr9	136245812	6.985
HAUS1	chr18	46104384	89.0154
LINC02071	chr17	51335162	0.00235756
PIK3CD	chr1	9689543	0.71388
MIR3713	chr15	76586646	0.0769828
MIR6802	chr19	55239976	10.7394
NSUN5P1	chr7	75410321	0.595434
VSTM5	chr11	93850618	0.0290164
LINC01570	chr16	5616250	0.0196305
EBF4	chr20	2692779	0.0304567
KCTD11	chr17	7351888	47.8189
GALE	chr1	23800754	227.718
NMBR	chr6	142147122	97.1681
STIM2-AS1	chr4	26860599	56.3013
GDAP2	chr1	117929621	114.303
ZNF772	chr19	57477566	4.76947
MARK4	chr19	45251270	8.90039
POLR2G	chr11	62761579	105.55
STON1-GTF2A1L	chr2	48529924	1.46717
LOC100144595	chr2	154457438	0.0435013
MIR6511B2	chr16	2106748	2.53239
TRIM5	chr11	5685074	23.5509
RRP9	chr3	51941904	39.1172
SNTB1	chr8	120812046	0.00230036
USP6	chr17	5116031	3.69399
LINC01638	chr22	27224679	0.0382995
CALCRL	chr2	187448252	0.0007025
KCND3-AS1	chr1	111909656	0.11096
REST	chr4	56908912	37.6564
WNT9A	chr1	227947932	0.199163
LOC401463	chr8	64577263	0.162734
MANBA	chr4	102760968	23.4319
MIR642B	chr19	45675008	10.151
SNORA11E	chrX	52063473	0.00023
SNORA11E	chrX	52190621	0.00023
PON2	chr7	95435028	185.798
NTRK3-AS1	chr15	88252729	0.0123653
RGPD4-AS1	chr2	107826769	0.00023
ZCCHC10	chr5	133026549	232.387
TMEM106A	chr17	43211874	5.78691
OR9G9	chr11	56700387	0.089571
NLRP2B	chrX	57680260	0.00249929
SMARCB1	chr22	23786965	100.486
CCDC140	chr2	222298146	0.00359226
SLC17A6	chr11	22338380	0.00814634
LINC00977	chr8	129241240	0.33462
ZNF185	chrX	152941670	10.7025
MLF2	chr12	6753141	151.097
RPL23AP64	chr11	119003593	0.326609
MTARC1	chr1	220786912	0.0131963
UNC5B	chr10	71212569	0.00122865
MIR548AO	chr8	41271143	0.0246313
SALRNA2	chr15	70635248	0.117234
PAXIP1-DT	chr7	155003432	103.554
MIR31	chr9	21512185	0.00023
LOC100287467	chr6	116371719	0.0847868
DRAM2	chr1	111140093	312.335
LOC101926968	chr3	118641767	0.0112422
OR6C4	chr12	55551226	0.278549
MRPL35	chr2	86199432	231.736
IL1RAPL1	chrX	28587445	0.0104984
P2RX5	chr17	3696155	0.578041
BUB1	chr2	110678107	348.45
LOC107986794	chr7	51393256	0.0153366
FOXD4L5	chr9	65285209	0.00088904
CDH3	chr16	68645309	0.125492
RRN3	chr16	15094335	237.122
HOXB13	chr17	48728750	0.0291965
PHIP	chr6	79078254	294.015
MIR4282	chr6	72967753	0.243353
TMEM139-AS1	chr7	143286334	0.0016039
NCF1B	chr7	73220638	0.00023
TNIP2P1	chrX	40833196	0.0320773
SNORD115-3	chr15	25174926	0.017987
ZC4H2	chrX	65034741	15.7921
GPR142	chr17	74367505	0.0817713
MBD3L4	chr19	7040173	0.00023
DNAJB6	chr7	157337003	135.159
FOXD4L4	chr9	65737145	0.373644
MOCS2	chr5	53109757	106.097
EZHIP	chrX	51406947	0.00061244
NACA2	chr17	61591219	0.117822
PIEZO2	chr18	11149569	0.00669005
PSPC1	chr13	19782945	110.25
SMIM10L2A	chrX	135421943	3.39845
SCAMP1-AS1	chr5	78360541	143.522
ZNF283	chr19	43827320	22.3651
DHRS7	chr14	60165398	34.0333
MIR6793	chr19	10828972	21.8166
CDYL2	chr16	80804598	0.0114499
RIOX2	chr3	97972431	34.002
ENPP7P13	chr16	33769376	0.00767202
SLC25A29	chr14	100306444	3.61392
HEATR1	chr1	236604516	207.595
KRTAP12-2	chr21	44666927	0.0458037
MIR3164	chr11	69083175	2.65922
CLEC12A	chr12	9951267	0.0358368
TACC3	chr4	1721520	71.7109
FAM3C	chr7	121396368	257.437
WASF1	chr6	110180004	31.8436
NTSR2	chr2	11670195	0.00630812
MIR548I2	chr4	9556316	0.00035728
ASAH2	chr10	50251516	0.025246
MIR3646	chr20	44408119	0.31787
FAM47E-STBD1	chr4	76251699	0.0691388
RIC1	chr9	5629106	106.857
INSR	chr19	7294414	2.78103
C8G	chr9	136945242	6.12712
LGALS14	chr19	39704480	0.0296234
SKA2	chr17	59155186	93.6359
MAGEA4	chrX	151912888	0.00503656
OR1K1	chr9	122800122	0.17391
HPS1	chr10	98446935	59.6319
TAAR3P	chr6	132609302	0.0445761
LINC01498	chr12	108473689	0.0099545
DNAJC25-GNG10	chr9	111631333	148.073
SNORD114-1	chr14	100949832	0.0404841
SPDYE13	chr7	73028419	0.00023
SPDYE13	chr7	73056564	0.00023
SPDYE13	chr7	73084691	0.00023
SPDYE13	chr7	75280789	0.00023
SPDYE13	chr7	75308717	0.00023
SPDYE13	chr7	75336684	0.00023
OACYLP	chr18	59035678	0.00052612
SNHG20	chr17	77088642	82.1818
MTA1	chr14	105419826	13.049
LOC101929188	chr6	33633745	2.86131
CEMIP2	chr9	71768513	53.2561
PLOD2	chr3	146161184	0.0239788
ZNF439	chr19	11865956	0.0474139
TMEM114	chr16	8590511	0.246337
FEM1B	chr15	68277744	160.6
KRBOX4	chrX	46447188	37.3898
PWWP2B	chr10	132397199	1.86954
NISCH	chr3	52455603	67.0359
FLRT1	chr11	64036681	0.997023
MIR6755	chr11	86278332	0.218922
COPA	chr1	160343250	302.214
MET	chr7	116672195	0.0156379
SNAP29	chr22	20859006	270.352
LARP1B	chr4	128061311	135.289
LINC00587	chr9	102519636	0.0164195
UBQLNL	chr11	5516699	0.283172
ZNF385B	chr2	179562588	0.112548
NDUFA1	chrX	119871831	255.193
KLK4	chr19	50910738	0.106238
PPP1R13B	chr14	103847575	1.01051
ZNF236-DT	chr18	76822295	18.1322
STK4-AS1	chr20	44966458	138.885
SFMBT2	chr10	7409341	10.4671
LMOD2	chr7	123655865	0.033768
PPARD	chr6	35342557	11.521
SLC26A10	chr12	57619526	0.256127
ZNF479	chr7	57132436	0.00392097
C12orf29	chr12	88035535	140.094
CDH23-AS1	chr10	71511920	0.00781103
MIR8063	chr15	36972901	1.75682
RAB9B	chrX	103832257	0.100719
OR1S1	chr11	58212719	0.00616449
WASHC5	chr8	125091819	91.2209
TBX10	chr11	67639560	0.216856
USP31	chr16	23149270	1.89354
IZUMO2	chr19	50163281	0.109707
ZNF765-ZNF761	chr19	53395148	64.5245
DIO3OS	chr14	101560422	0.00651917
TFRC	chr3	196082090	937.885
PTRHD1	chr2	24793391	175.109
ACTA2	chr10	88991397	2.78906
PKD1P3-NPIPA1	chr16	14911761	0.529768
ELAC2	chr17	13018064	113.842
TPPP2	chr14	21030216	0.0674327
TATDN2	chr3	10248458	29.6942
NANP	chr20	25624014	238.74
MIR3977	chr5	82840154	0.0915214
NUP88	chr17	5419739	207.442
IPO5P1	chr19	23274251	8.76054
ZMYM3	chrX	71254140	35.2344
FAM187A	chr17	44903829	0.0449014
MIR1301	chr2	25328721	0.0750244
LYRM4	chr6	5260950	50.4501
NPL	chr1	182789772	90.4949
NIPAL4	chr5	157460018	0.0643091
LINC01620	chr20	44465344	0.0015647
MIR4453HG	chr4	152536263	185.732
MIR141	chr12	6964096	9.09594
KIF14	chr1	200620751	124.99
DBNDD2	chr20	45406574	5.62817
REP15	chr12	27696446	0.0328446
OR2A4	chr6	131701401	0.00023
DLX5	chr7	97024831	0.0186918
CYP4A11	chr1	46941476	0.0252482
SNORD115-17	chr15	25201322	0.031666
WDR88	chr19	33132113	7.69675
MIR4700	chr12	120723192	1.36537
MAPKBP1	chr15	41774483	61.4619
SLC15A2	chr3	121894400	0.0576504
BOLA3-AS1	chr2	74147980	153.227
GCKR	chr2	27496838	0.20302
SGPL1	chr10	70815947	14.3448
ZNF365	chr10	62374156	0.0157643
YES1	chr18	812242	238.006
ADAP1	chr7	927216	0.0928274
CFAP221	chr2	119544431	3.11005
PLLP	chr16	57284672	3.99609
SNORD114-6	chr14	100957165	0.0198979
LOC101927932	chr20	58888810	48.9369
GATA1	chrX	48786589	70.4208
TYR	chr11	89177874	0.0116668
FAM98C	chr19	38403134	25.8203
SRD5A1	chr5	6633439	108.626
BICD2	chr9	92764833	108.353
MIR7849	chr4	146408582	0.38097
ALDH2	chr12	111766932	8.70002
MIR518B	chr19	53702736	0.00454606
RHAG	chr6	49636839	251.386
RPS5	chr19	58387268	418.81
CENPS	chr1	10430749	55.8357
ANXA9	chr1	150982291	0.859658
PUS1	chr12	131929275	234.836
NAP1L2	chrX	73214851	0.00946727
KRTAP12-4	chr21	44654659	0.00708986
BMS1P18	chr14	19093337	0.00023
BMS1P18	chr14	19306689	0.00023
BMS1P18	chr22	15815897	0.00023
MIR181A2	chr9	124692441	0.198346
MMP21	chr10	125775821	0.0132111
AGR3	chr7	16881983	0.0348541
SMC1A	chrX	53422654	215.421
TULP1	chr6	35512896	0.173417
HINT3	chr6	125956769	43.92
MIR642A	chr19	45674927	8.64916
FBXL8	chr16	67159956	54.1009
S100A10	chr1	151993859	0.00824837
LINC01767	chr1	56414962	0.0201048
THEM6	chr8	142727222	27.2423
ZNF66	chr19	20776303	36.7999
MIR637	chr19	3961512	11.4919
POLRMT	chr19	633537	18.034
C9orf163	chr9	136483009	134.822
RBM15B	chr3	51391284	10.6977
TBC1D9B	chr5	179907897	7.96244
GNRH2	chr20	3043621	13.9246
AGAP9	chr10	47523638	0.00191672
MIR6866	chr17	40161932	2.40732
SLC35E4	chr22	30635814	6.86088
CLCN5	chrX	49922595	7.14375
GLIS2	chr16	4314760	1.2924
RNU1-4	chr1_KI270713v1_random	22024	24539.6
MIR541	chr14	101064494	0.0295077
GOLGA5	chr14	92794304	42.3256
RRP1B	chr21	43659559	129.968
TEX15	chr8	30913008	21.0196
SRGAP2	chr1	206203540	0.0310148
ANK2	chr4	112817996	0.110871
MIR124-1	chr8	9903472	0.0109514
LOC101928596	chr1	169104123	0.00035956
SEPTIN10	chr2	109613667	0.00530351
CEP120	chr5	123423592	143.384
FAM104B	chrX	55161134	30.651
MIR6718	chr18	3885352	0.014278
LNC-LBCS	chr6	19804759	42.8213
ABCB10	chr1	229558707	25.6654
LINC01792	chr2	200735177	0.0153706
MYLK4	chr6	2770376	1.8813
LOC100506422	chr9	26066674	0.00023
SPIRE2	chr16	89828474	2.14997
POLR2B	chr4	56978639	322.588
MFAP1	chr15	43824690	185.46
HDGFL1	chr6	22569565	0.0431712
RPS26P11	chrX	72044408	0.00974057
LINC02817	chr1	221336296	0.00792521
LINC00652	chr20	18793982	10.4928
AMMECR1L	chr2	127885956	5.98261
SCRT2	chr20	675802	0.800192
TGFA	chr2	70553826	0.0915276
PLSCR3	chr17	7394525	40.469
LINC02024	chr3	117690925	0.00643054
SLC2A3	chr12	7936187	165.242
HCG22	chr6	31053449	0.00624411
ZNF271P	chr18	35290271	174.82
C6orf62	chr6	24719154	39.8447
TSSC4	chr11	2400749	61.4843
TEX13D	chrX	124332659	0.0458252
CCDC103	chr17	44899711	76.4742
ZNF334	chr20	46513572	0.707161
LOC105373352	chr2	558200	0.00865172
H2AB2	chrX	154884971	0.00023
H2AB2	chrX	155380708	0.00023
H2AB2	chrX	155460005	0.00023
MIR1324	chr3	75630762	0.00161036
LOC100996720	chr1	120914114	2.68404
COL3A1	chr2	188974372	0.0165588
NUP62CL	chrX	107206433	77.4707
CCL11	chr17	34285741	0.00772321
FKBP15	chr9	113221277	65.4206
NXPE2	chr11	114678526	0.0196563
ZNF169	chr9	94259297	73.1273
TMEM256	chr17	7404097	69.0533
LINC02728	chr11	78429836	1.33567
PRR13	chr12	53441648	304.934
BGLT3	chr11	5245546	35.6673
LINC00676	chr13	109728273	0.0127824
LAMB1	chr7	108003161	23.5014
CXorf49	chrX	71718285	0.00023
CXorf49	chrX	71763289	0.00023
MIR10396A	chr21	8436324	0.00023
MIR10396A	chr21	8987616	0.00023
MIR10396A	chr22_KI270733v1_random	125374	0.00023
MIR10396A	chrUn_GL000220v1	108526	0.00023
NUS1	chr6	117675468	93.6707
OPN1SW	chr7	128775790	62.1848
SLITRK1	chr13	83882474	0.0005828
SCN8A	chr12	51591235	0.190526
NABP1	chr2	191678135	657.935
RAB3C	chr5	58583074	0.0159135
SLC35F2	chr11	107858787	89.6386
ELOVL5	chr6	53348950	84.2248
MIR194-1	chr1	220118241	0.12765
ZCCHC8	chr12	122500932	190.692
KIR2DL4	chr19	54803609	0.0407219
SLC1A7	chr1	53142638	0.00415254
PTPN1	chr20	50510320	185.054
BRK1	chr3	10115674	477.217
RGS18	chr1	192158461	0.0122806
KIF24	chr9	34329268	150.435
CYS1	chr2	10080411	0.0342579
USP17L26	chr4	9325164	0.00023
USP17L26	chr4	9329910	0.00023
USP17L26	chr4	9334657	0.00023
USP17L26	chr4	9339402	0.00023
USP17L26	chr4	9344147	0.00023
USP17L26	chr4	9348892	0.00023
USP17L26	chr4	9353637	0.00023
USP17L26	chr4	9363128	0.00023
TK2	chr16	66550122	41.0819
CYTOR	chr2	87469949	4.21931
CMTM7	chr3	32391852	0.0536234
MIR4301	chr11	113450088	0.020178
FFAR1	chr19	35351541	0.01915
LOC101060553	chr13	111153577	138.409
LINC01601	chr18	44531778	0.00452261
HECW2-AS1	chr2	196260023	0.197887
GSDMA	chr17	39963003	0.0147582
MIR4464	chr6	90312741	0.0285998
UBE2V1	chr20	50113150	85.4862
OR1J2	chr9	122510801	0.0177272
FOSL2	chr2	28392857	31.6986
SPAG4	chr20	35615883	49.8539
TMEM54	chr1	32901389	0.504495
SMIM30	chr7	113118554	234.78
OR1C1	chr1	247758406	0.121271
HAVCR1	chr5	157058241	0.100162
CTU1	chr19	51108409	65.3763
ADIPOR2	chr12	1691069	122.704
MIR5189	chr16	88468917	22.1916
HIC1	chr17	2055102	1.53746
BCHE	chr3	165837423	0.163384
TTTY15	chrY	12662366	0.00023
NPAS3	chr14	32938878	0.00190664
DEFB127	chr20	157453	0.0204974
ITPRIPL2	chr16	19113963	16.9298
POLD4	chr11	67353596	159.288
NDUFS1	chr2	206159444	127.56
TUBA4B	chr2	219253242	31.1629
SLC10A6	chr4	86849384	0.104137
SNORD119	chr20	2463047	26.4508
CRH	chr8	66178464	0.0129344
OR5F1	chr11	55994625	0.0198662
MIR6750	chr11	64898437	5.46237
RHBG	chr1	156369210	0.0033955
MXRA7	chr17	76688663	0.625253
FBXO4	chr5	41925280	242.07
LOC392364	chr9	87859056	0.0143654
MIR6739	chr1	201863372	5.43123
ACVR1C	chr2	157597560	0.0583059
LINC00226	chr14	106287673	0.00866022
ELOVL7	chr5	60844269	7.90181
EXOSC4	chr8	144078671	182.415
MLH3	chr14	75051467	32.7408
DHRS4L1	chr14	24036444	0.0985146
GLCCI1-DT	chr7	7968752	134.732
UBE2G1	chr17	4366674	59.5386
ACOXL	chr2	110732572	0.198784
LINC01139	chr1	238486017	0.0483852
PTPN6	chr12	6946576	15.812
ZNF615	chr19	52008230	16.5743
ZNF233	chr19	44259913	1.32327
KCNJ2-AS1	chr17	70169402	0.518571
CALHM1	chr10	103458900	0.013614
VCAN	chr5	83471673	0.0143399
SMC5-AS1	chr9	70258874	141.419
CYP3A43	chr7	99828012	0.00045892
SNORD114-27	chr14	100988160	0.0266456
SLC25A24	chr1	108200343	49.2685
MIR454	chr17	59137872	0.917824
PARVB	chr22	44024301	62.125
AGAP2-AS1	chr12	57726239	0.200413
CDK5RAP1	chr20	33401569	112.058
SNORD115-31	chr15	25227108	0.0347915
MIR3160-1	chr11	46451889	0.0488915
DYNC1LI2	chr16	66751609	51.5311
LDB1	chr10	102120368	94.5943
MIR4298	chr11	1859536	0.00209116
LINC01061	chr4	119410660	0.0775765
DERL1	chr8	123042302	125.709
LINC02003	chr17	72342810	0.0129955
LOC102723376	chr10	11720	0.00023
LOC102723376	chr18	12074	0.00023
DMKN	chr19	35513649	0.208417
LOC105374516	chr4	21582095	0.0206232
LINC01993	chr17	78278492	3.61173
EAPP	chr14	34539737	100.248
LMBRD2	chr5	36151887	126.964
ITGA1	chr5	52787915	0.788485
CHD5	chr1	6180321	0.00069819
SPESP1	chr15	68930524	0.0587102
GNA12	chr7	2844308	1.85566
DLGAP1	chr18	3874302	0.0956699
MAGEE1	chrX	76427709	0.0371853
CLCN1	chr7	143316110	0.035437
CUTC	chr10	99732233	189.701
MICB	chr6	31498144	55.3907
ZNF253	chr19	19865881	190.069
NR1D1	chr17	40100589	27.3098
CRLF2	chrX	1212649	0.00023
CRLF2	chrX	1212723	0.00023
CRLF2	chrX	1212649	0.00023
CRLF2	chrY	1212649	0.00023
CRLF2	chrY	1212723	0.00023
LINC02370	chr12	131347469	0.0524456
MIR3614	chr17	56891355	2.06795
PLPP4	chr10	120456953	0.0276084
HNRNPA1P10	chr19	11667089	0.619195
EFCAB14-AS1	chr1	46674035	5.73449
LOC105374194	chr3	166898682	0.018028
LOC100129620	chr1	99004275	0.055866
CCL5	chr17	35880360	0.977673
MIR3914-1	chr7	71307770	0.0217685
SUMF2	chr7	56064285	324.264
DGKA	chr12	55932027	6.43899
MIR941-5	chr20	63919560	1.67899
LINC00377	chr13	81018390	0.0351619
TBX3	chr12	114684175	6.91232
EME1	chr17	50373219	387.937
EPHX4	chr1	92029984	0.0107488
TNFSF9	chr19	6531025	326.235
EOLA1	chrX	149541011	33.6847
PYCR3	chr8	143609575	104.456
MCM3	chr6	52284742	79.6004
LINC02126	chr16	65176573	0.0198945
LRATD1	chr2	14632716	1.19747
BDKRB1	chr14	96256209	0.0188568
LINC01704	chr1	158140640	0.00825926
LOC100287792	chr20	37676909	0.103888
NELFCD	chr20	58981255	74.2416
HDAC1	chr1	32292082	171.8
LINC01251	chr9	33738416	0.240794
LINC00958	chr11	12989548	315.147
PPP3CB	chr10	73496024	96.3644
FAM86C2P	chr11	67805336	21.876
MAFG	chr17	81923466	61.8971
TRAF3IP3	chr1	209758497	0.0345376
MIR488	chr1	177029445	0.00563132
SNORD115-35	chr15	25234246	0.00407776
LUM	chr12	91111494	0.00537362
BCL10	chr1	85276632	160.379
GNB4	chr3	179451470	29.8899
LINC02375	chr12	127340072	0.0300495
CDH11	chr16	65122063	0.00023
LINC02257	chr1	221978520	0.0642358
SBF2	chr11	10294207	8.53778
SH3D19	chr4	151175552	0.0546197
RNF5	chr6	32178404	68.5411
MEIKIN	chr5	131945663	0.0810079
SMCO4	chr11	93543391	9.93309
TMEM151A	chr11	66291893	0.0139172
OR5K2	chr3	98497680	0.063261
FBXO10	chr9	37576380	3.405
COX7B2	chr4	46909245	0.0529861
LOC105374060	chr3	118810833	2.12974
ASIC3	chr7	151048530	17.226
DUSP22	chr6	292056	73.3997
MIR4473	chr9	20411238	0.0053037
MIR1976	chr1	26554541	1.2112
ARF5	chr7	127588410	72.4689
PLCG1	chr20	41137542	40.985
TAOK1	chr17	29390362	240.269
CNKSR2	chrX	21374417	0.00201836
RCAN1	chr21	34615113	2.37098
LOC105369199	chr1	120963647	0.0159888
ATP2A3	chr17	3964464	5.34162
LINC01987	chr17	77728559	0.00992614
LOC107984265	chr10	102918335	28.6105
KRT13	chr17	41505612	0.0058442
ADCK2	chr7	140672944	3.60442
NQO1	chr16	69726560	224.938
ZNF302	chr19	34677638	0.565811
MIR1323	chr19	53671967	0.0356537
GOLGA2P7	chr15	84230168	0.00023
CYP4F22	chr19	15508524	0.0162191
NPTXR	chr22	38844028	2.2724
MUC7	chr4	70471957	0.042102
LOC101928697	chr13	19182032	0.0571578
CHRNG	chr2	232539691	5.29069
MIR1229	chr5	179798346	14.1865
E2F8	chr11	19240945	82.8276
LINC02607	chr1	95510115	0.0784059
C9orf131	chr9	35042239	0.691757
FCRL6	chr1	159800511	0.074298
MIR4510	chr15	35926855	0.0489038
GNA14	chr9	77648322	0.00310976
TFF2	chr21	42350994	0.00381932
FMO5	chr1	147225339	0.627675
MIR6877	chr9	133051995	4.97433
LINC01919	chr18	53568446	0.0306262
GRID2	chr4	92303965	0.0113613
SLU7	chr5	160419081	101.021
ADAM12	chr10	126388477	0.00769363
TMEM14A	chr6	52671112	30.275
ENO3	chr17	4950551	65.7065
LOC102724511	chr6	170160641	0.0640887
ZNF136	chr19	12163095	40.3483
SYPL2	chr1	109466545	0.00452413
SYT1	chr12	78863981	0.0209511
CHP2	chr16	23755025	1.43934
PEG3-AS1	chr19	56812479	0.0225539
NPEPL1	chr20	58689130	0.284382
OSTM1	chr6	108074741	78.2733
LINC01422	chr22	26903291	0.0140669
TYRP1	chr9	12693384	0.00481261
LINC00574	chr6	169790072	0.0066883
OSBPL2	chr20	62238520	0.0823463
SLC30A6	chr2	32165840	836.475
HERC5	chr4	88457118	0.11946
SNX25	chr4	185204236	35.4199
LRRC4B	chr19	50551042	0.378071
CCDC146	chr7	77122614	1.92323
TMPRSS15	chr21	18403785	0.0320301
NLGN2	chr17	7407844	0.0322213
ABCF3	chr3	184186074	91.1913
RNFT2	chr12	116738290	7.85876
LINC02059	chr5	86746817	0.060821
TCL1A	chr14	95714125	0.0948232
CNDP2	chr18	74496362	119.623
IFNG-AS1	chr12	67989444	0.0555598
DPY19L2	chr12	63668493	0.0871659
C9orf129	chr9	93346303	0.0357224
AGRN	chr1	1020119	2.71433
TMEM132D-AS1	chr12	129109689	107.223
LINC00423	chr13	32911652	0.0758246
LOC105375131	chr7	4134837	0.0305893
PLEKHG4	chr16	67279531	37.1678
MIR6807	chr19	58550284	42.7248
CNOT7	chr8	17246857	227.436
DUS4L	chr7	107563970	201.912
OLFM2	chr19	9858175	0.0812165
MEIS3	chr19	47422233	0.977377
TP53TG5	chr20	45378325	0.598341
RNF43	chr17	58417534	6.46821
CNIH4	chr1	224356878	42.0152
NSFP1	chr17	46372812	0.00023
NSFP1	chr17	46590733	0.00023
IL37	chr2	112911164	0.0464226
MUC20	chr3	195720881	0.157556
FIBIN	chr11	26994111	0.00758948
PARN	chr16	14630260	278.997
PLAC8L1	chr5	146105577	0.213397
BZW2	chr7	16646133	335.88
SLC34A1	chr5	177384433	0.0669295
TBC1D25	chrX	48539713	31.9632
LHFPL2	chr5	78648772	3.82869
TCTN2	chr12	123671112	9.85932
NDEL1	chr17	8435883	152.538
MRGPRG	chr11	3218813	0.0434338
MIR1827	chr12	100189883	0.269113
LOC100303749	chr5	65945573	3.63752
NGF	chr1	115338249	0.00482847
RSPH14	chr22	23141990	1.036e-05
PNP	chr14	20469405	437.267
OR6T1	chr11	123943838	0.01628
CLDN25	chr11	113779795	0.00453178
HSD17B8	chr6	33204654	132.259
GEMIN7	chr19	45079259	96.8606
PACRG	chr6	162727969	18.9802
FAM157C	chr16	90102263	0.0997947
MIR4523	chr17	29390661	199.471
ZNF431	chr19	21142039	95.8739
GUCA2A	chr1	42164745	0.0424063
ADAMTS9	chr3	64688000	0.00847051
SLC22A16	chr6	110476613	0.045201
SCUBE2	chr11	9091599	0.0166873
LOC100134868	chr20	26009798	2.86596
MIR4476	chr9	36893531	0.0357445
LINC01435	chr10	108069293	0.00218196
RTKN	chr2	74440583	61.0611
ZNF764	chr16	30558374	61.6179
AGO1	chr1	35869807	212.902
MIR564	chr3	44861887	1.26419
CYRIA	chr2	16665834	0.005115
H2AZ1	chr4	99950275	1096.9
TLR7	chrX	12867071	0.0197234
MIR12119	chr7	99409171	146.108
GASK1A	chr3	42979310	0.0208834
LOC645177	chr12	24997574	0.0887247
POTEA	chr8	43292441	0.0300243
SORBS1	chr10	95561371	9.13782
COMMD5	chr8	144853048	84.5138
AQP9	chr15	58138380	0.0011188
TLX1	chr10	101131299	0.223056
CDK13	chr7	39950255	133.993
TMEM31	chrX	103710908	0.339074
SLC2A4	chr17	7281717	7.8064
APEH	chr3	49674350	165.12
EPB41L4A-DT	chr5	112419582	0.0352097
POLR1B	chr2	112542035	131.086
SYNE1	chr6	152185378	0.0744647
MIR27A	chr19	13836517	19.5232
MBNL1	chr3	152268928	219.583
IFT43	chr14	75985762	1.46693
OSBPL11	chr3	125595497	69.3011
ADAM9	chr8	38996972	92.4592
NSD2	chr4	1871392	8.44063
BCDIN3D	chr12	49843106	139.374
GPSM2	chr1	108876984	60.0797
KRT19P2	chr12	94834453	0.0033019
MRPL12	chr17	81703366	245.768
SETD1A	chr16	30957753	77.6001
DMRT2	chr9	1050353	0.0116427
LINC02201	chr5	122730560	0.00179117
AKAP8L	chr19	15418988	170.101
ZNF321P	chr19	52942594	107.972
LSM10	chr1	36397908	296.703
RNASEH2B-AS1	chr13	50910712	46.0946
BLZF1	chr1	169368194	51.9524
ILF3-DT	chr19	10653872	217.346
MAP3K20	chr2	173075845	31.3266
