gene_name	chr	strand	gene_start	gene_end
CRH	chr8	-	66176375	66178464
OR5F1	chr11	-	55993680	55994625
MIR6750	chr11	-	64898362	64898437
RHBG	chr1	+	156369210	156385219
LOC392364	chr9	-	87858042	87859056
MIR6739	chr1	+	201863372	201863447
ACVR1C	chr2	-	157526766	157597560
LINC00226	chr14	+	106287673	106288372
ELOVL7	chr5	-	60751790	60844269
EXOSC4	chr8	+	144078671	144080648
MLH3	chr14	-	75013774	75051467
DHRS4L1	chr14	+	24036444	24051377
GLCCI1-DT	chr7	-	7949838	7968752
UBE2G1	chr17	-	4269216	4366674
ACOXL	chr2	+	110732572	111118548
LINC01139	chr1	-	238480383	238486017
PTPN6	chr12	+	6946576	6961316
ZNF233	chr19	+	44259913	44275317
KCNJ2-AS1	chr17	-	70166960	70169402
CALHM1	chr10	-	103453239	103458900
VCAN	chr5	+	83471673	83582303
SMC5-AS1	chr9	-	70216058	70258874
CYP3A43	chr7	+	99828012	99866093
SNORD114-27	chr14	+	100988160	100988229
SLC25A24	chr1	-	108134042	108200343
MIR454	chr17	-	59137757	59137872
PARVB	chr22	+	44024301	44172939
AGAP2-AS1	chr12	+	57726239	57728356
CDK5RAP1	chr20	-	33358838	33401569
SNORD115-31	chr15	+	25227108	25227190
MIR3160-1	chr11	-	46451804	46451889
DYNC1LI2	chr16	-	66720892	66751609
LDB1	chr10	-	102106488	102120368
MIR4298	chr11	-	1859463	1859536
LINC01061	chr4	-	119405522	119410660
LINC02003	chr17	+	72342810	72355136
LOC102723376	chr10	+	11720	15576
LOC102723376	chr18	+	12074	15930
DMKN	chr19	-	35503303	35513649
LOC105374516	chr4	+	21582095	21613722
LINC01993	chr17	-	78261348	78278492
EAPP	chr14	-	34515928	34539737
LMBRD2	chr5	-	36098406	36151887
ITGA1	chr5	+	52787915	52959209
CHD5	chr1	-	6101786	6180321
SPESP1	chr15	+	68930524	68946811
GNA12	chr7	-	2728105	2844308
DLGAP1	chr18	-	3496031	3874302
MAGEE1	chrX	+	76427709	76431341
CLCN1	chr7	+	143316110	143352083
CUTC	chr10	+	99732233	99756134
MICB	chr6	+	31498144	31511124
ZNF253	chr19	+	19865881	19894674
NR1D1	chr17	-	40092792	40100589
CRLF2	chrX	-	1190489	1212649
LINC02370	chr12	+	131347469	131367555
MIR3614	chr17	-	56891269	56891355
HNRNPA1P10	chr19	-	11665735	11667089
EFCAB14-AS1	chr1	+	46674035	46692097
LOC105374194	chr3	+	166898682	166931824
LOC100129620	chr1	+	99004275	99148852
CCL5	chr17	-	35871490	35880360
MIR3914-1	chr7	-	71307671	71307770
SUMF2	chr7	+	56064285	56080672
DGKA	chr12	+	55932027	55954023
LINC00377	chr13	+	81018390	81044442
TBX3	chr12	-	114670254	114684175
EME1	chr17	+	50373219	50381459
EPHX4	chr1	+	92029984	92063538
TNFSF9	chr19	+	6531025	6535924
EOLA1	chrX	+	149541011	149548331
PYCR3	chr8	-	143603209	143609575
MCM3	chr6	-	52264014	52284742
LINC02126	chr16	-	65141755	65176573
LRATD1	chr2	+	14632716	14640041
BDKRB1	chr14	+	96256209	96264763
LINC01704	chr1	-	158132043	158140640
LOC100287792	chr20	+	37676909	37683234
NELFCD	chr20	+	58981255	58995113
HDAC1	chr1	+	32292082	32333626
LINC01251	chr9	-	33732974	33738416
LINC00958	chr11	-	12979533	12989548
PPP3CB	chr10	-	73443779	73496024
FAM86C2P	chr11	-	67791766	67805336
MAFG	chr17	-	81918269	81923466
TRAF3IP3	chr1	+	209758497	209782323
MIR488	chr1	-	177029362	177029445
SNORD115-35	chr15	+	25234246	25234328
LUM	chr12	-	91102628	91111494
BCL10	chr1	-	85265775	85276632
GNB4	chr3	-	179396087	179451470
LINC02375	chr12	-	127324154	127340072
CDH11	chr16	-	64943752	65122063
LINC02257	chr1	-	221913644	221978520
SBF2	chr11	-	9778666	10294207
SH3D19	chr4	-	151120280	151175552
RNF5	chr6	+	32178404	32180793
MEIKIN	chr5	-	131806990	131945663
SMCO4	chr11	-	93478472	93543391
TMEM151A	chr11	+	66291893	66296664
OR5K2	chr3	+	98497680	98498631
FBXO10	chr9	-	37510891	37576380
COX7B2	chr4	-	46734829	46909245
LOC105374060	chr3	-	118508410	118810833
DUSP22	chr6	+	292056	351355
MIR4473	chr9	-	20411147	20411238
MIR1976	chr1	+	26554541	26554593
ARF5	chr7	+	127588410	127591700
PLCG1	chr20	+	41137542	41177626
TAOK1	chr17	+	29390362	29551903
CNKSR2	chrX	+	21374417	21654689
LOC105369199	chr1	+	120963647	120973936
ATP2A3	chr17	-	3923868	3964464
LINC01987	chr17	-	77722871	77728559
LOC107984265	chr10	-	102898702	102918335
KRT13	chr17	-	41500980	41505612
ADCK2	chr7	+	140672944	140695110
NQO1	chr16	-	69709400	69726560
MIR1323	chr19	+	53671967	53672040
GOLGA2P7	chr15	-	84198847	84230168
CYP4F22	chr19	+	15508524	15552317
NPTXR	chr22	-	38818451	38844028
MUC7	chr4	+	70471957	70482997
LOC101928697	chr13	+	19182032	19187465
CHRNG	chr2	+	232539691	232548115
MIR1229	chr5	-	179798277	179798346
E2F8	chr11	-	19224062	19240945
LINC02607	chr1	+	95510115	95515464
C9orf131	chr9	+	35042239	35045985
FCRL6	chr1	+	159800511	159816257
MIR4510	chr15	+	35926855	35926923
GNA14	chr9	-	77423078	77648322
TFF2	chr21	-	42346357	42350994
MIR6877	chr9	+	133051995	133052059
LINC01919	chr18	+	53568446	53597851
SLU7	chr5	-	160401640	160419081
ADAM12	chr10	-	126012390	126388477
TMEM14A	chr6	+	52671112	52686587
ENO3	chr17	+	4950551	4957129
LOC102724511	chr6	+	170160641	170163027
SYPL2	chr1	+	109466545	109482134
SYT1	chr12	+	78863981	79452008
CHP2	chr16	+	23755025	23758935
PEG3-AS1	chr19	+	56812479	56813793
NPEPL1	chr20	+	58689130	58715844
OSTM1	chr6	-	108041408	108074741
LINC01422	chr22	+	26903291	26920610
TYRP1	chr9	+	12693384	12710285
LINC00574	chr6	+	169790072	169802873
OSBPL2	chr20	+	62238520	62296183
SLC30A6	chr2	+	32165840	32224379
HERC5	chr4	+	88457118	88506163
LRRC4B	chr19	-	50516892	50551042
CCDC146	chr7	+	77122614	77295204
TMPRSS15	chr21	-	18269115	18403785
NLGN2	chr17	+	7407844	7419860
ABCF3	chr3	+	184186074	184194007
RNFT2	chr12	+	116738290	116853631
LINC02059	chr5	+	86746817	86749772
TCL1A	chr14	-	95709946	95714125
CNDP2	chr18	+	74496362	74523454
IFNG-AS1	chr12	+	67989444	68021327
DPY19L2	chr12	-	63558912	63668493
C9orf129	chr9	-	93329488	93346303
AGRN	chr1	+	1020119	1056114
TMEM132D-AS1	chr12	+	129109689	129113298
LINC00423	chr13	-	32809189	32911652
LOC105375131	chr7	-	4127611	4134837
PLEKHG4	chr16	+	67279531	67289480
MIR6807	chr19	+	58550284	58550376
DUS4L	chr7	+	107563970	107578523
OLFM2	chr19	-	9853717	9858175
TP53TG5	chr20	-	45372556	45378325
RNF43	chr17	-	58352499	58417534
CNIH4	chr1	+	224356878	224379451
NSFP1	chr17	+	46372812	46423097
NSFP1	chr17	+	46590733	46640674
IL37	chr2	+	112911164	112918881
FIBIN	chr11	+	26994111	26997085
PARN	chr16	-	14435700	14630260
PLAC8L1	chr5	-	146084312	146105577
BZW2	chr7	+	16646133	16706523
SLC34A1	chr5	+	177384433	177390513
TBC1D25	chrX	+	48539713	48562609
LHFPL2	chr5	-	78485229	78648772
TCTN2	chr12	+	123671112	123708397
NDEL1	chr17	+	8435883	8468163
MRGPRG	chr11	-	3217943	3218813
MIR1827	chr12	+	100189883	100189949
LOC100303749	chr5	-	65944804	65945573
NGF	chr1	-	115285916	115338249
RSPH14	chr22	-	23059414	23141990
PNP	chr14	+	20469405	20477089
OR6T1	chr11	-	123942866	123943838
CLDN25	chr11	+	113779795	113780485
HSD17B8	chr6	+	33204654	33206831
GEMIN7	chr19	+	45079259	45091518
PACRG	chr6	+	162727969	163315492
FAM157C	chr16	+	90102263	90177606
MIR4523	chr17	+	29390661	29390730
ZNF431	chr19	+	21142039	21196053
GUCA2A	chr1	-	42162689	42164745
ADAMTS9	chr3	-	64515654	64688000
SLC22A16	chr6	-	110424689	110476613
SCUBE2	chr11	-	9019499	9091599
LOC100134868	chr20	+	26009798	26023267
MIR4476	chr9	-	36893461	36893531
LINC01435	chr10	-	107871575	108069293
ZNF764	chr16	-	30553763	30558374
MIR564	chr3	+	44861887	44861981
CYRIA	chr2	-	16549461	16665834
H2AZ1	chr4	-	99948088	99950275
TLR7	chrX	+	12867071	12890361
MIR12119	chr7	+	99409171	99409264
GASK1A	chr3	+	42979310	43057715
LOC645177	chr12	+	24997574	25052448
POTEA	chr8	+	43292441	43363185
SORBS1	chr10	-	95311772	95561371
AQP9	chr15	+	58138380	58185911
TLX1	chr10	+	101131299	101137789
CDK13	chr7	+	39950255	40099580
TMEM31	chrX	+	103710908	103714032
SLC2A4	chr17	+	7281717	7288257
APEH	chr3	+	49674350	49683971
EPB41L4A-DT	chr5	+	112419582	112420981
POLR1B	chr2	+	112542035	112579818
SYNE1	chr6	-	152121683	152185378
MIR27A	chr19	-	13836439	13836517
MBNL1	chr3	+	152268928	152465780
IFT43	chr14	+	75985762	76059291
OSBPL11	chr3	-	125528857	125595497
ADAM9	chr8	+	38996972	39105260
BCDIN3D	chr12	-	49836042	49843106
GPSM2	chr1	+	108876984	108934335
KRT19P2	chr12	+	94834453	94835028
MRPL12	chr17	+	81703366	81707517
SETD1A	chr16	+	30957753	30984662
LINC02201	chr5	-	122628951	122730560
AKAP8L	chr19	-	15380049	15418988
ZNF321P	chr19	-	52927134	52942594
LSM10	chr1	-	36393435	36397908
RNASEH2B-AS1	chr13	-	50882378	50910712
ILF3-DT	chr19	-	10651861	10653872
MAP3K20	chr2	+	173075845	173268015
PELP1	chr17	-	4669774	4704137
PNPLA2	chr11	+	818913	825571
FNDC1	chr6	+	159169399	159272108
SNORD116-7	chr15	+	25067786	25067883
MTRNR2L8	chr11	-	10507893	10509186
CD200R1L	chr3	-	112815710	112846856
PAK2	chr3	+	196739856	196832647
MIR588	chr6	+	126484630	126484713
HTR3A	chr11	+	113975107	113990312
IL17D	chr13	+	20701512	20723098
CEP41	chr7	-	130419033	130441016
KCTD13	chr16	-	29906339	29926226
OIT3	chr10	+	72893738	72933036
GNS	chr12	-	64713448	64759406
RPS16P5	chr6	-	53334459	53337617
PSMC3	chr11	-	47418774	47426439
LOC100507071	chr8	-	22254575	22275162
MIR3136	chr3	-	69048957	69049035
